Tanko ID,Attribute,Previous Value,New Value,Time Comparison Made
1008600,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1008600,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1008600,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1008600,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1008600,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1008600,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1015310,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1015310,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1015310,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1015310,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1015310,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.961000
1015310,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1014540,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1014540,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1014540,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1014540,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1014540,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1014540,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1002270,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1002270,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1002270,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1002270,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1002270,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1002270,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1015610,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1015610,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1015610,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1015610,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1015610,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1015610,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1007240,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1007240,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1007240,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1007240,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1007240,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1007240,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1006680,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1006680,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1006680,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1006680,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1006680,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.961000
1006680,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1014920,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1014920,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1014920,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1014920,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1014920,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1014920,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1002370,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1002370,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1002370,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1002370,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1002370,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1002370,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1009280,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1009280,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1009280,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1009280,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1009280,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1009280,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1014020,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1014020,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1014020,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1014020,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1014020,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1014020,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1001660,INSFIXTURE,Choose...,92W VERD-AO2-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1001660,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1001660,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1001660,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1001660,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.961000
1001660,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1015170,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1015170,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1015170,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1015170,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1015170,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1015170,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1014370,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1014370,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1014370,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1014370,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1014370,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1014370,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1008070,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1008070,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1008070,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1008070,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1008070,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1008070,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1002660,INSFIXTURE,Choose...,92W VERD-AO2-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1002660,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1002660,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1002660,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1002660,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.961000
